nameList,titleList,tagList,textList
['\n      alexbraun\n    '],[' ...  для бизнеса c React и Angular'],['Блог компании Европлан Разработка веб-сайтов *C# *Angular *ReactJS *'],"['Наша компания разрабатывает десятки продуктов. Ряд продуктов работает на Angular', ' ряд на React. Пользователи систем в зависимости от этапа бизнес-процесса и роли взаимодействует с определенным продуктом. Часто', ' в рамках бизнеса мы должны показывать одни и те же данные в разных продуктах. Эти данные отображаются в виде UI компонентов.В этой статье мы узнаем как можно организовать библиотеки компонентов для решения задач бизнеса. Научимся переиспользовать и запускать React библиотеку внутри Angular. Таким способом мы сможем решать задачи бизнеса гибко и эффективно.']"
['\n      eshulyndina\n    '],['Яндекс.Практикум запустил курс «React-разработчик»'],['Блог компании Яндекс.Практикум JavaScript *ReactJS *Карьера в IT-индустрии TypeScript *'],"['Сервис онлайн-образования Яндекс.Практикум запустил курс «React-разработчик» — двухмесячный интенсив для погружения в экосистему React', ' работы с популярными технологиями и изучения их альтернатив. Курс подойдёт тем', ' кто уже умеет верстать и знает основы JavaScript.\n\r\nВыпускники получат сертификат — официальный документ о дополнительном образовании. \n\n\n']"
['\n      denis-19\n    '],['Энтузиаст создает интерфейс Windows 11 на React в браузере'],['Разработка веб-сайтов *GitHub ReactJS *Разработка под Windows *Софт '],"['\n\r\nРазработчик под ником Blue Edge опубликовал на GitHub проект Windows 11 in React — это визуализация интерфейса Windows 11 в браузере с помощью React. Автор создал сайт win11.blueedge.me', ' где уже доступны основные элементы рабочего стола новой ОС для ознакомления и начального понимания', ' как она работает. ']"
['\n      Elliot_001\n    '],['Введение в React'],['JavaScript *Программирование *Профессиональная литература ReactJS *'],"['Оглавление\n1. Getting started with React\r\n....1.1 Методы добавления React\r\n....1.2 Выбор метода добавления\r\n........1.2.1 Добавление React с помощью тэга <script />\r\n........1.2.2 Добавление React с помощью create-react-app\n2. Basically React\r\n....2.1 React object\r\n....2.2 React element\r\n........2.2.1 CreateElement\r\n........2.2.2 CloneElement\r\n........2.2.3 IsValidElement\r\n........2.2.4 Children\r\n....2.3 React компоненты\r\n........2.3.1 React.Component\r\n........2.3.2 React.Fragment\r\n.........2.3.3 State\r\n.........2.3.4 Events\r\n.........2.3.5 Lifecycle\r\n.........2.3.6 Refs\r\n....2.4 ReactDOM\r\n........2.4.1 Render\r\n........2.4.2 Hydrate\r\n........2.4.3 UnmountComponentAtNode\r\n........2.4.4 CreatePortal\n3. Other topics\r\n....3.1 Lists and Keys\r\n....3.2 Error Handling\r\n........3.2.1 getDerivedStateFromError\r\n........3.2.2 componentDidCatch\nЗаключение\n\nReact — JavaScript-библиотека с открытым исходным кодом для разработки пользовательских интерфейсов.\n\n1. Getting started with React\n1.1 Методы добавления React\r\nСуществует 2 основных метода для добавления React на сайт:\n\n\nС помощью тэга <script />\nС помощью create-react-app\n\n1.2 Выбор метода добавления\r\nВыбор метода зависит от потребностей. Если вы просто хотите добавить немного интерактивности на существующую страницу или хотите просто попробовать React тогда используйте первый метод подключения. Если вы собираетесь построить полноценное React приложение', ' то используйте create-react-app.\n\n1.2.1 Добавление React с помощью тэга <script />\nШаг 1 Добавьте 3 тега в контейнер head на вашей странице:\n<script src=""https://unpkg.com/react@16/umd/react.development.js""></script>\n<script src=""https://unpkg.com/react-dom@16/umd/react-dom.development.js""></script>\n<script src=""https://unpkg.com/babel-standalone@6.15.0/babel.min.js""></script>\r\nЗдесь подключаются библиотеки React и React-dom', ' а также компилятор babel.\nBabel не является обязательным для использования React', ' но полезным для написания кода UI', ' с помощью JSX.\nШаг 2 Добавьте пустой  контейнер на вашу страницу чтобы отметить место', ' где вы хотите что-либо отобразить с помощью React.']"
['\n      markosipenko\n    '],['React.js — Руководство для Rails разработчиков'],['Ruby *Ruby on Rails *ReactJS *'],"['На начальном уровне такие переводы — мой вклад в развитие rails сообщества.\nДальше в тексте все', ' что выделено курсивом', ' мои замечания (таких будет не много)\n\n\n\nВведение в React.js\n\nReact.js — это новый популярный парень из команды JavaScript фреймворков', ' он выделяется своей простотой. Когда другие фреймворки реализуют полный MVC (Model View Controller) подход', "" мы можем сказать React'у реализовать только View (Отображение) (факт — некоторые люди переписывают часть отображения (V) этих фреймворков c помощью React).\n\r\nПриложения с реактом основаны на 2х основных принципах Компоненты и Состояния. Компоненты могут состоять из более мелких компонентов встроенных или пользовательских. Состояния"", ' что ребята из Facebook называют односторонний реактивный поток данных', ' подразумевая что наш интерфейс(UI) будет реагировать на каждое изменение состояния.\n\r\nОдна хорошая особенность React.js это то что он не требует каких-либо дополнительных зависимостей', ' что обеспечивает ему подключаемость с любой js библиотекой. Пользуясь этим', ' мы будем включать его в наш Rails стек для создания внешнего интерфейса или можно сказать для создания «Rails на стероидах».\n\nМакет для отслеживания расходов приложения\n\r\nДля этого гайда мы создадим маленькое приложение с нуля что бы отслеживать наши действия. Каждая запись(дальше', ' тоже самое что и Record) будет состоять из даты', ' названия и суммы. Запись будет рассматриваться как Кредит(Credit) если его сумма больше нуля', ' в противном случае она будет рассматриваться каr дебет. Вот макет проекта:\n\n\n\r\nСуммарно приложение будет вести себя так:\n\nКогда пользователь создает новую запись через горизонтальную форму', ' она будет вставлена в таблицу записей \nПользователь может редактировать любую существующую запись \nКликнув на кнопку Delete он удалит ассоциацию из таблицы \nДобавление', ' редактирование или удаление существующей записи будет обновлять сумму в боксах в верху страницы \n\n\n Инициализация React.js в Rails проект \n']"
['\n      ph_piter\n    '],['Книга «React: современные шаблоны для разработки приложений 2-е издание»'],['Блог компании Издательский дом «Питер» Профессиональная литература ReactJS *'],"[' Привет', ' Хаброжители! Хотите создавать эффективные приложения с помощью React? Тогда эта книга написана для вас. Познакомьтесь c лучшими практиками и шаблонами создания современного кода.\n\r\nВам не потребуются глубокие знания React или функционала JavaScript — достаточно знакомства с принципами работы JavaScript', ' CSS и HTML.\n\r\nАлекс Бэнкс и Ева Порселло научат вас создавать пользовательские интерфейсы', ' которые будут динамически отображать изменения без необходимости перезагрузки страницы даже на крупномасштабных сайтах', ' работающих с огромными массивами данных.']"
['\n      rajdee\n    '],['Обзор релиз-кандидата React v0.14'],['Разработка веб-сайтов *JavaScript *ReactJS *'],"['Мы рады представить вам наш первый релиз-кандидат версии React 0.14! Мы опубликовали в июле анонс предстоящих изменениях', ' но сейчас мы еще больше стабилизировали релиз и нам бы хотелось', ' чтобы вы попробовали его до того', ' как мы выпустим финальную версию.\n\r\nСообщите нам', ' если у вас возникли любые проблемы', ' создав задачу в нашем GitHub репозитории\n\n']"
['\n      Plarium\n    '],['Создаем приложение на JavaScript с помощью React Native'],['Блог компании Plarium JavaScript *Разработка мобильных приложений *API *ReactJS *'],"['В этом уроке мы будем изучать React Native – фреймворк от компании Facebook для создания нативных приложений под iOS и Android. У него много общего с другим очень популярным фреймворком от Facebook – React Javascript', ' который предназначен для построения декларативных пользовательских интерфейсов.\n\n\n']"
['\n      yury-dymov\n    '],"['React.js: собираем с нуля изоморфное / универсальное приложение. Часть 2: добавляем bootstrap', ' страницы и роутинг']",['Node.JS *ReactJS *'],"['\nРазработка изоморфного приложения глазами моей жены\nЭто продолжение статьи про разработку изоморфного приложения с нуля на React.js. В этой части мы добавим несколько страниц', ' bootstrap', ' роутинг', ' концепцию Flux и ее популярную реализацию Redux.']"
['\n      NIX_Solutions\n    '],['Создание кроссплатформенных приложений с помощью React Native'],['Блог компании NIX Программирование *Разработка мобильных приложений *ReactJS *'],"['Предлагаем вашему вниманию перевод статьи', ' которая будет интересна начинающим разработчикам. \n\r\nReact Native — это JS-фреймворк для создания нативно отображаемых iOS- и Android-приложений. В его основе лежит разработанная в Facebook JS-библиотека React', ' предназначенная для создания пользовательских интерфейсов. Но вместо браузеров она ориентирована на мобильные платформы. Иными словами', ' если вы веб-разработчик', ' то можете использовать React Native для написания чистых', ' быстрых мобильных приложений', ' не покидая комфорта привычного фреймворка и единой кодовой базы JavaScript.\n\r\nКонечно', ' мы и раньше слышали обещания об универсальной разработке приложений', ' с помощью фреймворков наподобие Cordova или Titanium. А что насчёт React Native? В этой статье мы рассмотрим данный фреймворк и особенности его работы и поговорим о том', ' насколько удобно использовать React Native для написания iOS- и Android-приложений. \n']"
